"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","15,919","11,894","3,817","0","87","50","10","61","0","61"
"Stone County, Mississippi","","","","","","","","","",""
"    Estimate","18,282","14,308","3,284","23","0","18","0","649","37","612"
"Sunflower County, Mississippi","","","","","","","","","",""
"    Estimate","25,759","6,297","19,069","60","7","0","99","227","151","76"
"Tallahatchie County, Mississippi","","","","","","","","","",""
"    Estimate","14,041","4,880","8,296","11","74","26","660","94","59","35"
"Tate County, Mississippi","","","","","","","","","",""
"    Estimate","28,419","18,892","8,763","17","44","32","119","552","55","497"
"Tippah County, Mississippi","","","","","","","","","",""
"    Estimate","21,976","16,967","3,669","12","60","0","725","543","228","315"
"Tishomingo County, Mississippi","","","","","","","","","",""
"    Estimate","19,396","18,207","544","28","10","0","31","576","430","146"
"Tunica County, Mississippi","","","","","","","","","",""
"    Estimate","9,807","1,840","7,890","0","0","0","28","49","7","42"
"Union County, Mississippi","","","","","","","","","",""
"    Estimate","28,578","22,413","4,714","62","82","0","989","318","125","193"
"Walthall County, Mississippi","","","","","","","","","",""
"    Estimate","14,423","7,658","6,471","0","9","0","205","80","36","44"
"Warren County, Mississippi","","","","","","","","","",""
"    Estimate","46,030","22,011","22,663","99","316","9","234","698","192","506"
"Washington County, Mississippi","","","","","","","","","",""
"    Estimate","45,072","11,326","32,445","21","306","0","468","506","65","441"
"Wayne County, Mississippi","","","","","","","","","",""
"    Estimate","20,344","11,651","8,290","0","44","0","95","264","233","31"
"Webster County, Mississippi","","","","","","","","","",""
"    Estimate","9,727","7,717","1,901","21","26","0","44","18","4","14"
"Wilkinson County, Mississippi","","","","","","","","","",""
"    Estimate","8,727","2,430","6,099","0","19","0","108","71","26","45"
"Winston County, Mississippi","","","","","","","","","",""
"    Estimate","18,116","9,117","8,544","178","6","0","60","211","46","165"
"Yalobusha County, Mississippi","","","","","","","","","",""
"    Estimate","12,276","7,380","4,790","6","0","0","16","84","7","77"
"Yazoo County, Mississippi","","","","","","","","","",""
"    Estimate","28,511","10,801","16,407","126","13","0","690","474","172","302"
"Adair County, Missouri","","","","","","","","","",""
"    Estimate","25,468","23,105","942","42","632","6","121","620","190","430"
"Andrew County, Missouri","","","","","","","","","",""
"    Estimate","17,554","16,688","187","33","150","95","20","381","125","256"
"Atchison County, Missouri","","","","","","","","","",""
"    Estimate","5,180","5,033","21","48","4","0","15","59","19","40"
"Audrain County, Missouri","","","","","","","","","",""
"    Estimate","25,336","22,696","1,394","94","23","26","136","967","6","961"
"Barry County, Missouri","","","","","","","","","",""
"    Estimate","35,615","31,958","80","276","619","0","788","1,894","698","1,196"
"Barton County, Missouri","","","","","","","","","",""
"    Estimate","11,732","10,860","20","269","4","7","86","486","79","407"
"Bates County, Missouri","","","","","","","","","",""
"    Estimate","16,282","15,397","298","120","46","9","150","262","87","175"
"Benton County, Missouri","","","","","","","","","",""
"    Estimate","19,305","18,461","80","259","14","0","30","461","90","371"
"Bollinger County, Missouri","","","","","","","","","",""
"    Estimate","12,181","11,782","68","92","0","0","56","183","29","154"
"Boone County, Missouri","","","","","","","","","",""
"    Estimate","179,704","144,541","15,924","662","7,926","157","1,793","8,701","1,198","7,503"
"Buchanan County, Missouri","","","","","","","","","",""
"    Estimate","87,904","75,591","4,252","357","1,170","513","1,820","4,201","924","3,277"
"Butler County, Missouri","","","","","","","","","",""
"    Estimate","42,570","38,277","2,119","287","378","31","85","1,393","136","1,257"
"Caldwell County, Missouri","","","","","","","","","",""
"    Estimate","9,052","8,648","57","42","43","0","21","241","34","207"
"Callaway County, Missouri","","","","","","","","","",""
"    Estimate","44,944","41,091","1,894","282","365","194","210","908","46","862"
"Camden County, Missouri","","","","","","","","","",""
"    Estimate","45,823","43,852","387","197","163","0","420","804","136","668"
"Cape Girardeau County, Missouri","","","","","","","","","",""
"    Estimate","78,834","68,830","5,744","73","1,392","104","357","2,334","181","2,153"
"Carroll County, Missouri","","","","","","","","","",""
"    Estimate","8,723","8,321","104","7","21","0","14","256","23","233"
"Carter County, Missouri","","","","","","","","","",""
"    Estimate","6,085","5,801","5","236","0","0","0","43","0","43"
"Cass County, Missouri","","","","","","","","","",""
"    Estimate","104,687","94,400","4,377","482","626","152","823","3,827","981","2,846"
"Cedar County, Missouri","","","","","","","","","",""
"    Estimate","14,144","13,591","17","53","30","0","70","383","32","351"
"Chariton County, Missouri","","","","","","","","","",""
"    Estimate","7,449","7,062","159","5","0","0","74","149","39","110"
"Christian County, Missouri","","","","","","","","","",""
"    Estimate","87,324","82,384","1,012","383","527","24","390","2,604","590","2,014"
"Clark County, Missouri","","","","","","","","","",""
"    Estimate","6,783","6,563","19","12","89","0","20","80","30","50"
"Clay County, Missouri","","","","","","","","","",""
"    Estimate","246,480","207,254","15,172","1,028","5,548","828","4,578","12,072","2,775","9,297"
"Clinton County, Missouri","","","","","","","","","",""
"    Estimate","20,503","19,581","293","74","112","15","20","408","29","379"
"Cole County, Missouri","","","","","","","","","",""
"    Estimate","76,630","64,113","9,067","297","1,194","18","201","1,740","234","1,506"
"Cooper County, Missouri","","","","","","","","","",""
"    Estimate","17,522","15,528","1,024","86","71","36","59","718","179","539"
"Crawford County, Missouri","","","","","","","","","",""
"    Estimate","23,984","23,064","138","11","73","116","176","406","79","327"
"Dade County, Missouri","","","","","","","","","",""
"    Estimate","7,571","7,183","32","53","38","6","21","238","11","227"
"Dallas County, Missouri","","","","","","","","","",""
"    Estimate","16,841","16,191","19","170","108","0","29","324","30","294"
"Daviess County, Missouri","","","","","","","","","",""
"    Estimate","8,294","8,011","51","17","17","10","56","132","12","120"
"DeKalb County, Missouri","","","","","","","","","",""
"    Estimate","11,872","10,381","1,061","54","61","12","17","286","23","263"
"Dent County, Missouri","","","","","","","","","",""
"    Estimate","15,518","14,586","100","124","91","0","94","523","156","367"
"Douglas County, Missouri","","","","","","","","","",""
"    Estimate","13,335","12,730","54","255","16","0","197","83","0","83"
"Dunklin County, Missouri","","","","","","","","","",""
"    Estimate","29,657","24,645","3,035","27","142","14","630","1,164","465","699"
"Franklin County, Missouri","","","","","","","","","",""
"    Estimate","103,629","99,055","763","253","523","13","549","2,473","678","1,795"
"Gasconade County, Missouri","","","","","","","","","",""
"    Estimate","14,673","14,116","88","53","133","0","24","259","19","240"
"Gentry County, Missouri","","","","","","","","","",""
"    Estimate","6,576","6,381","36","17","37","3","26","76","7","69"
"Greene County, Missouri","","","","","","","","","",""
"    Estimate","291,574","259,990","8,951","1,445","5,771","128","3,137","12,152","2,595","9,557"
"Grundy County, Missouri","","","","","","","","","",""
"    Estimate","9,885","9,395","26","49","119","1","28","267","88","179"
"Harrison County, Missouri","","","","","","","","","",""
"    Estimate","8,427","8,144","68","35","24","3","12","141","49","92"
"Henry County, Missouri","","","","","","","","","",""
"    Estimate","21,854","20,859","267","49","118","1","41","519","73","446"
"Hickory County, Missouri","","","","","","","","","",""
"    Estimate","9,452","9,075","2","145","45","0","40","145","0","145"
"Holt County, Missouri","","","","","","","","","",""
"    Estimate","4,374","4,227","44","43","41","2","0","17","4","13"
"Howard County, Missouri","","","","","","","","","",""
"    Estimate","10,022","8,969","588","67","36","0","34","328","224","104"
"Howell County, Missouri","","","","","","","","","",""
"    Estimate","40,130","38,400","111","453","279","0","85","802","216","586"
"Iron County, Missouri","","","","","","","","","",""
"    Estimate","10,150","9,711","49","41","48","0","0","301","25","276"
"Jackson County, Missouri","","","","","","","","","",""
"    Estimate","700,733","463,747","162,903","2,174","12,938","2,397","26,679","29,895","7,518","22,377"
"Jasper County, Missouri","","","","","","","","","",""
"    Estimate","120,528","107,491","2,364","1,482","1,398","343","2,069","5,381","1,145","4,236"
"Jefferson County, Missouri","","","","","","","","","",""
"    Estimate","224,777","211,917","1,943","545","1,748","35","526","8,063","3,930","4,133"
"Johnson County, Missouri","","","","","","","","","",""
"    Estimate","53,948","47,613","2,096","124","1,144","164","304","2,503","348","2,155"
"Knox County, Missouri","","","","","","","","","",""
"    Estimate","3,948","3,808","21","0","28","2","6","83","11","72"
"Laclede County, Missouri","","","","","","","","","",""
"    Estimate","35,680","33,543","197","218","140","16","184","1,382","371","1,011"
"Lafayette County, Missouri","","","","","","","","","",""
"    Estimate","32,697","30,635","767","69","236","68","384","538","30","508"
"Lawrence County, Missouri","","","","","","","","","",""
"    Estimate","38,241","35,994","122","256","35","45","603","1,186","268","918"
"Lewis County, Missouri","","","","","","","","","",""
"    Estimate","9,898","9,202","386","68","4","38","0","200","49","151"
"Lincoln County, Missouri","","","","","","","","","",""
"    Estimate","57,590","54,294","1,321","125","160","12","261","1,417","228","1,189"
"Linn County, Missouri","","","","","","","","","",""
"    Estimate","12,004","11,640","72","26","43","7","17","199","23","176"
"Livingston County, Missouri","","","","","","","","","",""
"    Estimate","14,969","13,955","407","67","96","5","32","407","35","372"
"McDonald County, Missouri","","","","","","","","","",""
"    Estimate","22,882","18,484","428","711","349","590","621","1,699","1,044","655"
"Macon County, Missouri","","","","","","","","","",""
"    Estimate","15,154","14,217","332","94","112","4","27","368","94","274"
"Madison County, Missouri","","","","","","","","","",""
"    Estimate","12,176","11,735","77","29","43","0","39","253","40","213"
"Maries County, Missouri","","","","","","","","","",""
"    Estimate","8,791","8,661","27","25","29","0","12","37","0","37"
"Marion County, Missouri","","","","","","","","","",""
"    Estimate","28,572","26,166","1,243","58","153","41","55","856","50","806"
"Mercer County, Missouri","","","","","","","","","",""
"    Estimate","3,623","3,467","13","0","19","0","10","114","24","90"
"Miller County, Missouri","","","","","","","","","",""
"    Estimate","25,369","24,503","135","88","217","14","36","376","10","366"
"Mississippi County, Missouri","","","","","","","","","",""
"    Estimate","13,328","9,642","3,380","74","5","6","0","221","123","98"
"Moniteau County, Missouri","","","","","","","","","",""
"    Estimate","15,907","14,829","577","132","35","18","102","214","12","202"
"Monroe County, Missouri","","","","","","","","","",""
"    Estimate","8,630","8,082","277","61","44","12","24","130","49","81"
"Montgomery County, Missouri","","","","","","","","","",""
"    Estimate","11,414","10,749","187","3","10","1","144","320","54","266"
"Morgan County, Missouri","","","","","","","","","",""
"    Estimate","20,438","19,501","198","75","180","0","45","439","104","335"
"New Madrid County, Missouri","","","","","","","","","",""
"    Estimate","17,275","13,993","2,732","34","0","0","0","516","112","404"
"Newton County, Missouri","","","","","","","","","",""
"    Estimate","58,288","50,871","596","1,111","816","641","391","3,862","1,684","2,178"
"Nodaway County, Missouri","","","","","","","","","",""
"    Estimate","22,199","20,724","573","47","324","24","129","378","87","291"
"Oregon County, Missouri","","","","","","","","","",""
"    Estimate","10,561","10,079","10","140","38","5","40","249","0","249"
"Osage County, Missouri","","","","","","","","","",""
"    Estimate","13,613","13,357","26","82","0","0","20","128","14","114"
"Ozark County, Missouri","","","","","","","","","",""
"    Estimate","9,138","8,797","8","81","62","0","32","158","33","125"
"Pemiscot County, Missouri","","","","","","","","","",""
"    Estimate","16,330","11,297","4,416","13","6","0","157","441","96","345"
"Perry County, Missouri","","","","","","","","","",""
"    Estimate","19,227","18,461","81","64","193","0","0","428","201","227"
"Pettis County, Missouri","","","","","","","","","",""
"    Estimate","42,421","38,331","1,270","150","297","27","1,061","1,285","106","1,179"
"Phelps County, Missouri","","","","","","","","","",""
"    Estimate","44,587","39,756","917","324","1,640","0","114","1,836","655","1,181"
"Pike County, Missouri","","","","","","","","","",""
"    Estimate","18,158","16,265","1,233","36","87","15","160","362","8","354"
"Platte County, Missouri","","","","","","","","","",""
"    Estimate","102,848","86,355","6,853","298","2,956","522","1,483","4,381","646","3,735"
"Polk County, Missouri","","","","","","","","","",""
"    Estimate","32,031","30,150","298","419","104","48","71","941","393","548"
"Pulaski County, Missouri","","","","","","","","","",""
"    Estimate","52,359","39,314","5,846","511","1,434","374","1,370","3,510","545","2,965"
"Putnam County, Missouri","","","","","","","","","",""
"    Estimate","4,746","4,610","13","0","3","0","0","120","0","120"
"Ralls County, Missouri","","","","","","","","","",""
"    Estimate","10,258","9,692","182","49","64","0","68","203","111","92"
"Randolph County, Missouri","","","","","","","","","",""
"    Estimate","24,769","22,109","1,483","146","156","0","123","752","150","602"
"Ray County, Missouri","","","","","","","","","",""
"    Estimate","22,900","21,721","256","85","42","0","78","718","193","525"
"Reynolds County, Missouri","","","","","","","","","",""
"    Estimate","6,274","5,879","82","12","24","10","28","239","10","229"
"Ripley County, Missouri","","","","","","","","","",""
"    Estimate","13,484","12,973","90","69","77","21","60","194","3","191"
"St. Charles County, Missouri","","","","","","","","","",""
"    Estimate","398,472","353,805","18,068","494","10,342","117","2,959","12,687","2,436","10,251"
"St. Clair County, Missouri","","","","","","","","","",""
"    Estimate","9,455","8,963","58","35","17","0","91","291","99","192"
"Ste. Genevieve County, Missouri","","","","","","","","","",""
"    Estimate","17,887","17,276","386","21","77","0","49","78","0","78"
"St. Francois County, Missouri","","","","","","","","","",""
"    Estimate","66,653","61,497","2,736","229","283","21","374","1,513","451","1,062"
"St. Louis County, Missouri","","","","","","","","","",""
"    Estimate","996,179","662,172","241,560","1,745","44,412","289","10,642","35,359","10,031","25,328"
"Saline County, Missouri","","","","","","","","","",""
"    Estimate","22,932","19,396","1,196","23","181","192","925","1,019","317","702"
"Schuyler County, Missouri","","","","","","","","","",""
"    Estimate","4,550","4,409","13","0","9","0","7","112","93","19"
"Scotland County, Missouri","","","","","","","","","",""
"    Estimate","4,923","4,787","1","3","2","0","2","128","0","128"
"Scott County, Missouri","","","","","","","","","",""
"    Estimate","38,538","32,616","4,290","56","145","0","168","1,263","239","1,024"
"Shannon County, Missouri","","","","","","","","","",""
"    Estimate","8,207","7,792","10","11","0","0","0","394","14","380"
"Shelby County, Missouri","","","","","","","","","",""
"    Estimate","5,975","5,683","138","17","8","0","54","75","25","50"
"Stoddard County, Missouri","","","","","","","","","",""
"    Estimate","29,255","28,223","395","0","7","0","23","607","150","457"
"Stone County, Missouri","","","","","","","","","",""
"    Estimate","31,875","30,593","66","146","145","0","308","617","21","596"
"Sullivan County, Missouri","","","","","","","","","",""
"    Estimate","6,163","5,514","188","34","3","15","200","209","91","118"
"Taney County, Missouri","","","","","","","","","",""
"    Estimate","55,563","50,874","1,049","553","395","11","1,261","1,420","409","1,011"
"Texas County, Missouri","","","","","","","","","",""
"    Estimate","25,518","23,484","514","248","467","11","123","671","216","455"
"Vernon County, Missouri","","","","","","","","","",""
"    Estimate","20,560","19,601","82","63","153","0","24","637","69","568"
"Warren County, Missouri","","","","","","","","","",""
"    Estimate","35,090","32,172","646","198","210","11","630","1,223","402","821"
"Washington County, Missouri","","","","","","","","","",""
"    Estimate","24,819","23,502","513","53","21","35","0","695","99","596"
"Wayne County, Missouri","","","","","","","","","",""
"    Estimate","13,058","12,433","79","27","89","0","35","395","117","278"
"Webster County, Missouri","","","","","","","","","",""
"    Estimate","39,127","37,293","241","141","125","18","290","1,019","58","961"
"Worth County, Missouri","","","","","","","","","",""
"    Estimate","2,001","1,967","12","1","1","0","1","19","0","19"
"Wright County, Missouri","","","","","","","","","",""
"    Estimate","18,256","17,345","25","60","96","26","57","647","333","314"
"St. Louis city, Missouri","","","","","","","","","",""
"    Estimate","304,709","141,519","139,140","784","10,266","112","3,441","9,447","1,752","7,695"
"Beaverhead County, Montana","","","","","","","","","",""
"    Estimate","9,454","8,888","7","199","15","22","58","265","39","226"
"Big Horn County, Montana","","","","","","","","","",""
"    Estimate","13,302","3,885","0","8,740","31","0","35","611","51","560"
"Blaine County, Montana","","","","","","","","","",""
"    Estimate","6,698","3,014","31","3,487","6","0","55","105","39","66"
"Broadwater County, Montana","","","","","","","","","",""
"    Estimate","6,080","5,834","5","49","0","0","18","174","83","91"
"Carbon County, Montana","","","","","","","","","",""
"    Estimate","10,689","10,241","58","89","45","11","98","147","13","134"
"Carter County, Montana","","","","","","","","","",""
"    Estimate","1,305","1,256","0","17","0","0","0","32","16","16"
"Cascade County, Montana","","","","","","","","","",""
"    Estimate","81,576","71,145","1,198","3,406","684","57","1,195","3,891","441","3,450"
"Chouteau County, Montana","","","","","","","","","",""
"    Estimate","5,731","4,436","14","1,043","33","1","10","194","12","182"
"Custer County, Montana","","","","","","","","","",""
"    Estimate","11,563","10,817","80","113","58","22","79","394","47","347"
"Daniels County, Montana","","","","","","","","","",""
"    Estimate","1,705","1,594","0","56","15","0","0","40","34","6"
"Dawson County, Montana","","","","","","","","","",""
"    Estimate","8,824","8,351","44","119","24","0","60","226","0","226"
"Deer Lodge County, Montana","","","","","","","","","",""
"    Estimate","9,153","8,393","136","124","51","15","60","374","92","282"
"Fallon County, Montana","","","","","","","","","",""
"    Estimate","2,975","2,800","1","101","30","0","3","40","1","39"
"Fergus County, Montana","","","","","","","","","",""
"    Estimate","11,167","10,482","80","182","167","8","99","149","45","104"
"Flathead County, Montana","","","","","","","","","",""
"    Estimate","102,001","95,589","472","1,561","658","13","511","3,197","724","2,473"
"Gallatin County, Montana","","","","","","","","","",""
"    Estimate","111,401","103,811","459","1,031","1,416","5","926","3,753","882","2,871"
"Garfield County, Montana","","","","","","","","","",""
"    Estimate","1,051","1,045","6","0","0","0","0","0","0","0"
"Glacier County, Montana","","","","","","","","","",""
"    Estimate","13,706","4,195","52","8,809","45","36","158","411","102","309"
"Golden Valley County, Montana","","","","","","","","","",""
"    Estimate","814","732","12","7","0","0","0","63","14","49"
"Granite County, Montana","","","","","","","","","",""
"    Estimate","3,325","3,177","7","34","11","0","0","96","25","71"
"Hill County, Montana","","","","","","","","","",""
"    Estimate","16,422","11,429","68","3,961","87","4","184","689","52","637"
"Jefferson County, Montana","","","","","","","","","",""
"    Estimate","12,069","11,328","82","122","8","0","146","383","29","354"
"Judith Basin County, Montana","","","","","","","","","",""
"    Estimate","1,968","1,856","0","46","0","0","0","66","0","66"
"Lake County, Montana","","","","","","","","","",""
"    Estimate","30,383","20,232","100","7,110","158","55","146","2,582","206","2,376"
"Lewis and Clark County, Montana","","","","","","","","","",""
"    Estimate","68,714","64,040","233","914","443","0","637","2,447","202","2,245"
"Liberty County, Montana","","","","","","","","","",""
"    Estimate","2,455","2,442","0","0","0","0","0","13","0","13"
"Lincoln County, Montana","","","","","","","","","",""
"    Estimate","19,845","18,574","38","188","71","37","176","761","190","571"
"McCone County, Montana","","","","","","","","","",""
"    Estimate","1,826","1,702","0","68","46","0","0","10","0","10"
"Madison County, Montana","","","","","","","","","",""
"    Estimate","8,530","8,192","2","19","5","0","28","284","48","236"
"Meagher County, Montana","","","","","","","","","",""
"    Estimate","1,795","1,648","1","18","8","0","62","58","31","27"
"Mineral County, Montana","","","","","","","","","",""
"    Estimate","4,330","4,048","43","67","30","0","3","139","3","136"
"Missoula County, Montana","","","","","","","","","",""
"    Estimate","119,062","107,569","769","2,380","2,346","134","664","5,200","1,464","3,736"
"Musselshell County, Montana","","","","","","","","","",""
"    Estimate","4,682","4,371","0","140","31","0","34","106","5","101"
"Park County, Montana","","","","","","","","","",""
"    Estimate","16,513","15,679","59","120","65","16","49","525","125","400"
"Petroleum County, Montana","","","","","","","","","",""
"    Estimate","464","449","0","0","15","0","0","0","0","0"
"Phillips County, Montana","","","","","","","","","",""
"    Estimate","4,032","3,376","0","258","26","0","15","357","84","273"
"Pondera County, Montana","","","","","","","","","",""
"    Estimate","5,911","4,809","6","959","16","0","13","108","7","101"
"Powder River County, Montana","","","","","","","","","",""
"    Estimate","1,634","1,536","0","53","0","0","4","41","38","3"
"Powell County, Montana","","","","","","","","","",""
"    Estimate","6,843","6,144","48","372","27","0","54","198","8","190"
"Prairie County, Montana","","","","","","","","","",""
"    Estimate","1,162","1,121","0","17","22","0","2","0","0","0"
"Ravalli County, Montana","","","","","","","","","",""
"    Estimate","43,424","40,774","114","298","256","0","38","1,944","837","1,107"
"Richland County, Montana","","","","","","","","","",""
"    Estimate","11,097","9,979","0","216","2","44","316","540","88","452"
"Roosevelt County, Montana","","","","","","","","","",""
"    Estimate","11,091","3,894","22","6,568","81","0","16","510","25","485"
"Rosebud County, Montana","","","","","","","","","",""
"    Estimate","9,065","4,785","23","3,505","64","0","282","406","213","193"
"Sanders County, Montana","","","","","","","","","",""
"    Estimate","11,804","10,863","31","453","47","2","25","383","55","328"
"Sheridan County, Montana","","","","","","","","","",""
"    Estimate","3,389","3,200","0","16","16","0","7","150","0","150"
"Silver Bow County, Montana","","","","","","","","","",""
"    Estimate","34,895","32,623","96","797","262","13","82","1,022","208","814"
"Stillwater County, Montana","","","","","","","","","",""
"    Estimate","9,562","9,162","7","109","18","0","24","242","43","199"
"Sweet Grass County, Montana","","","","","","","","","",""
"    Estimate","3,676","3,526","0","47","9","0","0","94","0","94"
"Teton County, Montana","","","","","","","","","",""
"    Estimate","6,127","5,739","48","66","7","0","2","265","4","261"
"Toole County, Montana","","","","","","","","","",""
"    Estimate","4,812","4,249","25","375","22","0","13","128","5","123"
"Treasure County, Montana","","","","","","","","","",""
"    Estimate","614","608","0","1","5","0","0","0","0","0"
"Valley County, Montana","","","","","","","","","",""
"    Estimate","7,424","6,325","30","692","15","10","9","343","0","343"
"Wheatland County, Montana","","","","","","","","","",""
"    Estimate","2,138","2,058","0","17","17","0","0","46","0","46"
"Wibaux County, Montana","","","","","","","","","",""
"    Estimate","1,037","1,020","0","12","5","0","0","0","0","0"
"Yellowstone County, Montana","","","","","","","","","",""
"    Estimate","160,390","143,122","1,412","6,372","1,145","90","1,746","6,503","1,060","5,443"
"Adams County, Nebraska","","","","","","","","","",""
"    Estimate","31,541","28,952","177","81","415","3","1,030","883","287","596"
"Antelope County, Nebraska","","","","","","","","","",""
"    Estimate","6,315","6,097","72","0","17","1","55","73","51","22"
"Arthur County, Nebraska","","","","","","","","","",""
"    Estimate","439","422","0","1","0","0","1","15","0","15"
"Banner County, Nebraska","","","","","","","","","",""
"    Estimate","645","621","0","0","6","0","9","9","0","9"
"Blaine County, Nebraska","","","","","","","","","",""
"    Estimate","467","467","0","0","0","0","0","0","0","0"
"Boone County, Nebraska","","","","","","","","","",""
"    Estimate","5,228","5,133","7","5","20","0","0","63","9","54"
"Box Butte County, Nebraska","","","","","","","","","",""
"    Estimate","10,845","9,921","400","159","88","0","159","118","39","79"
"Boyd County, Nebraska","","","","","","","","","",""
"    Estimate","1,882","1,797","4","13","4","0","20","44","24","20"
"Brown County, Nebraska","","","","","","","","","",""
"    Estimate","2,887","2,797","1","6","11","0","0","72","0","72"
"Buffalo County, Nebraska","","","","","","","","","",""
"    Estimate","49,594","45,051","422","85","721","3","2,034","1,278","299","979"
"Burt County, Nebraska","","","","","","","","","",""
"    Estimate","6,503","6,081","20","166","21","13","57","145","33","112"
"Butler County, Nebraska","","","","","","","","","",""
"    Estimate","7,997","7,700","6","58","15","0","58","160","25","135"
"Cass County, Nebraska","","","","","","","","","",""
"    Estimate","26,022","24,697","68","104","98","63","298","694","257","437"
"Cedar County, Nebraska","","","","","","","","","",""
"    Estimate","8,483","8,241","10","64","4","0","86","78","10","68"
"Chase County, Nebraska","","","","","","","","","",""
"    Estimate","3,707","3,463","3","0","27","0","1","213","194","19"
"Cherry County, Nebraska","","","","","","","","","",""
"    Estimate","5,801","5,109","9","221","78","31","16","337","23","314"
"Cheyenne County, Nebraska","","","","","","","","","",""
"    Estimate","9,428","8,823","61","56","74","2","48","364","124","240"
"Clay County, Nebraska","","","","","","","","","",""
"    Estimate","6,193","5,884","19","33","1","0","91","165","84","81"
"Colfax County, Nebraska","","","","","","","","","",""
"    Estimate","10,681","8,491","402","209","78","3","574","924","838","86"
"Cuming County, Nebraska","","","","","","","","","",""
"    Estimate","8,882","8,186","24","38","15","13","272","334","237","97"
"Custer County, Nebraska","","","","","","","","","",""
"    Estimate","10,788","10,355","11","32","78","0","104","208","64","144"
"Dakota County, Nebraska","","","","","","","","","",""
"    Estimate","20,124","12,544","1,218","439","676","0","3,476","1,771","1,168","603"
"Dawes County, Nebraska","","","","","","","","","",""
"    Estimate","8,685","7,676","260","251","51","0","0","447","176","271"
"Dawson County, Nebraska","","","","","","","","","",""
"    Estimate","23,638","19,675","1,470","77","187","2","1,185","1,042","629","413"
"Deuel County, Nebraska","","","","","","","","","",""
"    Estimate","1,770","1,689","4","25","11","0","3","38","3","35"
"Dixon County, Nebraska","","","","","","","","","",""
"    Estimate","5,682","5,209","5","26","21","0","206","215","140","75"
"Dodge County, Nebraska","","","","","","","","","",""
"    Estimate","36,565","34,047","391","295","234","69","483","1,046","562","484"
"Douglas County, Nebraska","","","","","","","","","",""
"    Estimate","565,739","437,012","61,490","2,788","22,897","243","14,966","26,343","7,548","18,795"
"Dundy County, Nebraska","","","","","","","","","",""
"    Estimate","1,928","1,911","3","1","0","0","9","4","2","2"
"Fillmore County, Nebraska","","","","","","","","","",""
"    Estimate","5,542","5,333","9","30","50","0","23","97","37","60"
"Franklin County, Nebraska","","","","","","","","","",""
"    Estimate","2,970","2,856","13","1","10","9","30","51","21","30"
"Frontier County, Nebraska","","","","","","","","","",""
"    Estimate","2,636","2,532","26","5","2","0","9","62","14","48"
"Furnas County, Nebraska","","","","","","","","","",""
"    Estimate","4,712","4,550","8","6","16","1","37","94","12","82"
"Gage County, Nebraska","","","","","","","","","",""
"    Estimate","21,548","20,739","121","146","123","0","116","303","40","263"
"Garden County, Nebraska","","","","","","","","","",""
"    Estimate","1,916","1,871","0","8","4","0","19","14","0","14"
"Garfield County, Nebraska","","","","","","","","","",""
"    Estimate","2,081","2,030","2","0","3","0","34","12","0","12"
"Gosper County, Nebraska","","","","","","","","","",""
"    Estimate","2,001","1,969","4","1","8","4","1","14","0","14"
"Grant County, Nebraska","","","","","","","","","",""
"    Estimate","691","671","5","1","1","0","6","7","0","7"
"Greeley County, Nebraska","","","","","","","","","",""
"    Estimate","2,361","2,296","6","6","3","0","27","23","0","23"
"Hall County, Nebraska","","","","","","","","","",""
"    Estimate","61,338","48,492","1,808","432","687","247","7,309","2,363","1,459","904"
"Hamilton County, Nebraska","","","","","","","","","",""
"    Estimate","9,219","8,804","8","1","48","9","103","246","141","105"
"Harlan County, Nebraska","","","","","","","","","",""
"    Estimate","3,380","3,211","26","11","47","1","49","35","25","10"
"Hayes County, Nebraska","","","","","","","","","",""
"    Estimate","889","867","0","2","0","0","13","7","7","0"
"Hitchcock County, Nebraska","","","","","","","","","",""
"    Estimate","2,788","2,663","1","5","0","0","1","118","13","105"
"Holt County, Nebraska","","","","","","","","","",""
"    Estimate","10,123","9,829","22","64","41","2","29","136","58","78"
"Hooker County, Nebraska","","","","","","","","","",""
"    Estimate","741","667","4","4","0","0","25","41","41","0"
"Howard County, Nebraska","","","","","","","","","",""
"    Estimate","6,428","6,001","10","3","18","2","100","294","196","98"
"Jefferson County, Nebraska","","","","","","","","","",""
"    Estimate","7,102","6,854","51","31","26","0","47","93","12","81"
"Johnson County, Nebraska","","","","","","","","","",""
"    Estimate","5,118","4,273","271","53","61","0","217","243","142","101"
"Kearney County, Nebraska","","","","","","","","","",""
"    Estimate","6,588","6,325","5","55","30","0","21","152","116","36"
"Keith County, Nebraska","","","","","","","","","",""
"    Estimate","8,048","7,639","132","58","38","6","33","142","92","50"
"Keya Paha County, Nebraska","","","","","","","","","",""
"    Estimate","875","863","0","0","0","0","1","11","7","4"
"Kimball County, Nebraska","","","","","","","","","",""
"    Estimate","3,576","3,350","5","75","12","0","7","127","27","100"
"Knox County, Nebraska","","","","","","","","","",""
"    Estimate","8,400","7,271","26","812","30","2","56","203","31","172"
"Lancaster County, Nebraska","","","","","","","","","",""
